"character" "dialogue"
"449" "VOICE" "This is Mike Yanagita.  Ya know - Mike Yanagita.  Remember me?"
"450" "MARGE" "...  Mike Yanagita!"
"451" "MIKE" "Yah!"
"452" "MARGE" "Yah, yah, course I remember. How are ya?  What time is it?"
"453" "MIKE" "Oh, geez.  It's quarter to eleven. I hope I dint wake you."
"454" "MARGE" "No, that's okay."
"455" "MIKE" "Yah, I'm down in the Twin Cities and I was just watching on TV about these shootings up in Brainderd, and I saw you on the news there."
"456" "MARGE" "Yah."
"457" "MIKE" "I thought, geez, is that Margie Olmstead?  I can't believe it!"
"458" "MARGE" "Yah, that's me."
"459" "MIKE" "Well, how the heck are ya?"
"460" "MARGE" "Okay, ya know.  Okay."
"461" "MIKE" "Yah?"
"462" "MARGE" "Yah - how are you doon?"
"463" "MIKE" "Oh, pretty good."
"464" "MARGE" "Heck, it's been such a long time, Mike.  It's great to hear from ya."
"465" "MIKE" "Yah...  Yah, yah.  Geeze, Margie!"
"466" "JERRY" "Yah, ya got yer, this loaded here, this has yer independent, uh, yer slipped differential, uh, yer rack- and-pinion steering, yer alarm and radar, and I can give it to ya with a heck of a sealant, this TruCoat stuff, it'll keep the salt off -"
"467" "CUSTOMER" "Yah, I don't need no sealant though."
"468" "JERRY" "Yah, you don't need that.  Now were you thinking of financing here? You oughta be aware a this GMAC plan they have now, it's really super -"
"469" "ANOTHER SALESMAN" "Jerry, ya got a call here."
"470" "JERRY" "Yah, okay."
"471" "JERRY" "Jerry Lundegaard."
"472" "VOICE" "All right, Jerry, you got this phone to yourself?"
"473" "JERRY" "Well ... yah."
"474" "VOICE" "Know who this is?"
"475" "JERRY" "Well, yah, I got an idea.  How's that Ciera workin' out for ya?"
"476" "VOICE" "Circumstances have changed, Jerry."
"477" "JERRY" "Well, what do ya mean?"
"478" "VOICE" "Things have changed.  Circumstances, Jerry.  Beyond the, uh ... acts of God, force majeure..."
"479" "JERRY" "What the - how's Jean?"
"480" "CARL" "...  Who's Jean?"
"481" "JERRY" "My wife!  What the - how's -"
"482" "CARL" "Oh, Jean's okay.  But there's three people up in Brainerd who aren't so okay, I'll tell ya that."
"483" "JERRY" "What the heck're you talkin' about? Let's just finish up this deal here -"
"484" "CARL" "Blood has been shed, Jerry."
"485" "CARL" "...  Blood has been shed."
"486" "JERRY" "What the heck d'ya mean?"
"487" "CARL" "Three people.  In Brainerd."
"488" "JERRY" "Oh, geez."
"489" "CARL" "That's right.  And we need more money."
"490" "JERRY" "The heck d'ya mean?  What a you guys got yourself mixed up in?"
"491" "CARL" "We need more -"
"492" "JERRY" "This was s'posed to be a no-rough -stuff-type deal -"
"493" "CARL" "DON'T EVER INTERRUPT ME, JERRY! JUST SHUT THE FUCK UP!"
"494" "JERRY" "Well, I'm sorry, but I just - I -"
"495" "CARL" "Look.  I'm not gonna debate you, Jerry.  The price is now the whole amount.  We want the entire eighty thousand."
"496" "JERRY" "Oh, for Chrissakes here -"
"497" "CARL" "Blood has been shed.  We've incurred risks, Jerry.  I'm coming into town tomorrow.  Have the money ready."
"498" "JERRY" "Now we had a deal here!  A deal's a deal!"
"499" "CARL" "IS IT, JERRY?  You ask those three pour souls up in Brainerd if a deal's a deal!  Go ahead, ask 'em!"
"500" "JERRY" "...  The heck d'ya mean?"
"501" "CARL" "I'll see you tomorrow."
"502" "JERRY" "Yah!"
"503" "VOICE" "Jerome Lundegaard?"
"504" "JERRY" "Yah!"
"505" "VOICE" "This is Reilly Deifenbach at GMAC. Sir, I have not yet recieved those vehicle IDs you promised me."
"506" "JERRY" "Yah!  I ... those are in the mail."
"507" "VOICE" "Mr. Lundegaard, that very well may be.  I must inform you, however, that absent the reciept of those numbers by tomorrow afternoon, I will have to refer this matter to our legal department."
"508" "JERRY" "Yah."
"509" "VOICE" "My patience is at an end."
"510" "JERRY" "Yah."
"511" "VOICE" "Good day, sir."
"512" "JERRY" "...  Yah."
"513" "GARY" "Hiya, Norm.  How ya doin', Margie? How's the fricasse?"
"514" "MARGE" "Pretty darn good, ya want some?"
"515" "GARY" "No, I gotta - hey, Norm, I thought you were goin' fishin' up at Mile Lacs?"
"516" "NORM" "Yah, after lunch."
"517" "MARGE" "Whatcha got there?"
"518" "GARY" "The numbers y'asked for, calls made from the lobby pay phone at the Blue Ox.  Two to Minneapolis that night."
"519" "MARGE" "Mm."
"520" "GARY" "First one's a trucking company, second one's a private residence. A Shep Proudfoot."
"521" "MARGE" "Uh-huh...  A what?"
"522" "GARY" "Shep Proudfoot.  That's a name."
"523" "MARGE" "Uh-huh."
"524" "GARY" "Yah."
"525" "MARGE" "...  Yah, okay, I think I'll drive down there, then."
"526" "GARY" "Oh, yah?  Twin Cities?"
"527" "NORM" "...  Oh, yah?"
"528" "WADE" "Dammit!  I wanna be a part a this thing!"
"529" "JERRY" "No, Wade!  They were real clear! They said they'd call tomorrow, with instructions, and it's gonna be delivered by me alone!"
"530" "WADE" "It's my money, I'll deliver it - what do they care?"
"531" "STAN" "Wade's got a point there.  I'll handle the call if you want, Jerry."
"532" "JERRY" "No, no.  See - they, no, see, they only deal with me.  Ya feel this, this nervousness on the phone there, they're very - these guys're dangerous -"
"533" "WADE" "All the more reason!  I don't want you - with all due respect, Jerry - I don't want you mucking this up."
"534" "JERRY" "The heck d'ya mean?"
"535" "WADE" "They want my money, they can deal with me.  Otherwise I'm goin' to a professional."
"536" "WADE" "...  There's a million dollars here!"
"537" "JERRY" "No, see -"
"538" "WADE" "Look, Jerry, you're not sellin' me a damn car.  It's my show here. That's that."
"539" "STAN" "It's the way we prefer to handle it, Jerry."
"540" "MARGE" "How ya doin'?"
"541" "CLERK" "Real good.  How're you today, ma'am?"
"542" "MARGE" "Real good.  I'm Mrs. Gunderson, I have a reservation."
"543" "CLERK" "You sure do, Mrs. Gunderson."
"544" "MARGE" "Is there a phone down here, ya think?"
"545" "MARGE" "...  Detective Sibert?  Yah, this is Marge Gunderson from up Brainerd, we spoke -  Yah.  Well, actually I'm in town here.  I had to do a few things in the Twin Cities, so I thought I'd check in with ya about that USIF search on Shep Proudfoot... Oh, yah?...  Well, maybe I'll go visit with him if I have the...  No, I can find that...  Well, thanks a bunch.  Say, d'ya happen to know a good place for lunch in the downtown area?...  Yah, the Radisson...  Oh, yah?  Is it reasonable?"
"546" "CARL" "Yeah, I decided not to park here."
"547" "ATTENDANT" "...  What do you mean, you decided not to park here?"
"548" "CARL" "Yeah, I just came in.  I decided not to park here."
"549" "ATTENDANT" "You, uh...  I'm sorry, sir, but -"
"550" "CARL" "I decided not to - I'm, uh, not taking the trip as it turns out."
"551" "ATTENDANT" "I'm sorry, sir, we do have to charge you the four dollars."
"552" "CARL" "I just pulled in here.  I just fucking pulled in here!"
"553" "ATTENDANT" "Well, see, there's a minimum charge of four dollars.  Long-term parking charges by the day."
"554" "CARL" "I guess you think, ya know, you're an authority figure.  With that stupid fucking uniform.  Huh, buddy?"
"555" "CARL" "...  King Clip-on Tie here.  Big fucking man."
"556" "CARL" "...  You know, these are the limits of your life, man.  Ruler of your little fucking gate here.  There's your four dollars.  You pathetic piece of shit."
"557" "JERRY" "Where's Shep?"
"558" "MECHANIC" "Talkin' to a cop."
"559" "JERRY" "...  Cop?"
"560" "MECHANIC" "Said she was a policewoman."
"561" "MARGE" "- Wednesday night?"
"562" "SHEP" "Nope."
"563" "MARGE" "Well, you do reside their at 1425 Fremont Terrace?"
"564" "SHEP" "Yep."
"565" "MARGE" "Anyone else residing there?"
"566" "SHEP" "Nope."
"567" "MARGE" "Well, Mr. Proudfoot, this call came in past three in the morning. It's just hard for me to believe you can't remember anyone calling."
"568" "MARGE" "...  Now, I know you've had some problems, struggling with the narcotics, some other entanglements, currently on parole -"
"569" "SHEP" "So?"
"570" "MARGE" "Well, associating with criminals, if you're the one they talked to, that right there would be a violation of your parole and would end with you back in Stillwater."
"571" "SHEP" "Uh-huh."
"572" "MARGE" "Now, I saw some rough stuff on your priors, but nothing in the nature of a homicide..."
"573" "MARGE" "...  I know you don't want to be an accessory to something like that."
"574" "SHEP" "Nope."
"575" "MARGE" "So you think you might remember who those folks were who called ya?"
"576" "MARGE" "Mr. Lundegaard?"
"577" "JERRY" "Huh?  Yah?"
"578" "MARGE" "I wonder if I could take just a minute of your time here -"
"579" "JERRY" "What...  What is it all about?"
"580" "MARGE" "Huh?  Do you mind if I sit down - I'm carrying quite a load here."
"581" "MARGE" "...  You're the owner here, Mr. Lundegaard?"
"582" "JERRY" "Naw, I...  Executive Sales Manager."
"583" "MARGE" "Well, you can help me.  My name's Marge Gunderson -"
"584" "JERRY" "My father-in-law, he's the owner."
"585" "MARGE" "Uh-huh.  Well, I'm a police officer from up Brainerd investigating some malfeasance and I was just wondering if you've had any new vehicles stolen off the lot in the past couple of weeks - specifically a tan Cutlass Ciera?"
"586" "MARGE" "...  Mr. Lundegaard?"
"587" "JERRY" "...  Brainerd?"
"588" "MARGE" "Yah.  Yah.  Home a Paul Bunyan and Babe the Blue Ox."
"589" "JERRY" "...  Babe the Blue Ox?"
"590" "MARGE" "Yah, ya know we've got the big statue there.  So you haven't had any vehicles go missing, then?"
"591" "JERRY" "No.  No, ma'am."
"592" "MARGE" "Okey-dokey, thanks a bunch.  I'll let you get back to your paperwork, then."
"593" "JERRY" "...  Yah, okay."
"594" "JERRY" "...  Yah, gimmee Shep...  The heck d'ya mean?...  Well, where'd he go?  It's only...  No, I don't need a mechanic - oh, geez - I gotta talk to a friend of his, so, uh ... have him, uh ... oh, geez..."
"595" "VOICE" "Marge?"
"596" "MARGE" "Mike!"
"597" "MIKE" "Geez!  You look great!"
"598" "MARGE" "Yah - easy there - you do too! I'm expecting, ya know."
"599" "MIKE" "I see that!  That's great!"
"600" "MIKE" "...  What can I get ya?"
"601" "MARGE" "Just a Diet Coke."
"602" "MARGE" "...  This is a nice place."
"603" "MIKE" "Yah, ya know it's the Radisson, so it's pretty good."
"604" "MARGE" "You're livin' in Edina, then?"
"605" "MIKE" "Oh, yah, couple years now.  It's actually Eden Prarie - that school district.  So Chief Gunderson, then! So ya went and married Norm Son-of- a-Gunderson!"
"606" "MARGE" "Oh, yah, a long time ago."
"607" "MIKE" "Great.  What brings ya down - are ya down here on that homicide - if you're allowed, ya know, to discuss that?"
"608" "MARGE" "Oh, yah, but there's not a heckuva lot to discuss.  What about you, Mike?  Are you married - you have kids?"
"609" "MIKE" "Well, yah, I was married.  I was married to -  You mind if I sit over here?"
"610" "MIKE" "...  I was married to Linda Cooksey -"
"611" "MARGE" "No, I -  Mike - wyncha sit over there, I'd prefer that."
"612" "MIKE" "Huh?  Oh, okay, I'm sorry."
"613" "MARGE" "No, just so I can see ya, ya know. Don't have to turn my neck."
"614" "MIKE" "Oh, sure, I unnerstand, I didn't mean to -"
"615" "MARGE" "No, no, that's fine."
"616" "MIKE" "Yah, sorry, so I was married to Linda Cooksey - ya remember Linda? She was a year behind us."
"617" "MARGE" "I think I remember Linda, yah. She was - yah.  So things didn't work out, huh?"
"618" "MIKE" "And then I, and then I been workin' for Honeywell for a few years now."
"619" "MARGE" "Well, they're a good outfit."
"620" "MIKE" "Yah, if you're an engineer, yah, you could do a lot worse.  Of course, it's not, uh, it's nothin' like your achievement."
"621" "MARGE" "It sounds like you're doin' really super."
"622" "MIKE" "Yah, well, I, uh ... it's not that it didn't work out -  Linda passed away.  She, uh..."
"623" "MARGE" "I'm sorry."
"624" "MIKE" "Yah, I, uh...  She had leukemia, you know..."
"625" "MARGE" "No, I didn't..."
"626" "MIKE" "It was a tough, uh ... it was a long -  She fought real hard, Marge..."
"627" "MARGE" "I'm sorry, Mike."
"628" "MIKE" "Oh, ya know, that's, uh - what can I say?..."
"629" "MIKE" "...  Better times, huh?"
"630" "MARGE" "Better times."
"631" "MIKE" "I was so...  I been so ... and then I saw you on TV, and I remembered, ya know...  I always liked you..."
"632" "MARGE" "Well, I always liked you, Mike."
"633" "MIKE" "I always liked ya so much..."
"634" "MARGE" "It's okay, Mike -  Should we get together another time, ya think?"
"635" "MIKE" "No - I'm sorry!  It's just -  I been so lonely - then I saw you, and..."
"636" "MIKE" "...  I'm sorry...  I shouldn't a done this...  I thought we'd have a really terrific time, and now I've..."
"637" "MARGE" "It's okay..."
"638" "MIKE" "You were such a super lady ... and then I...  I been so lonely..."
"639" "MARGE" "It's okay, Mike..."
"640" "CARL" "Just in town on business.  Just in and out.  Ha ha!  A little of the old in-and-out!"
"641" "WOMAN" "Wuddya do?"
"642" "CARL" "Have ya been to the Celebrity Room before?  With other, uh, clients?"
"643" "WOMAN" "I don't think so.  It's nice."
"644" "CARL" "Yeah, well, it depends on the artist. You know, Jose Feliciano, ya got no complaints.  Waiter!"
"645" "CARL" "...  What is he, deaf?...  So, uh, how long have you been with the escort service?"
"646" "WOMAN" "I don't know.  Few munce."
"647" "CARL" "Ya find the work interesting, do ya?"
"648" "WOMAN" "...  What're you talking about?"
"649" "CARL" "Shep!  What the hell are you doing? I'm banging that girl!  Shep!  Jesus Ch -"
"650" "SHEP" "Fuck out of my house!"
"651" "CARL" "Shep!  Don't you dare fucking hit me, man!  Don't you -"
"652" "SHEP" "Fuck outta here.  Put me back in Stillwater.  Little fucking shit."
"653" "VOICE" "Hey!  Come on in there!"
"654" "MAN" "C'mon, brother, it's late -  Unghh!"
"655" "CARL" "Stay away from me, man!  Hey! Smoke a fuckin' peace pipe, man! Don't you dare fuckin' -  Unghh!"
"656" "VOICE" "...  Yah?"
"657" "CARL" "All right, Jerry, I'm through fucking around.  You got the fucking money?"
"658" "JERRY" "Yah, I got the money, but, uh -"
"659" "CARL" "Don't you fucking but me, Jerry. I want you with this money on the Dayton-Radisson parking ramp, top level, thirty minutes, and we'll wrap this up."
"660" "JERRY" "Yah, okay, but, uh -"
"661" "CARL" "You're there in thirty minutes or I find you, Jerry, and I shoot you, and I shoot your fucking wife, and I shoot all your little fucking children, and I shoot 'em all in the back of their little fucking heads. Got it?"
"662" "JERRY" "...  Yah, well, you stay away from Scotty now -"
"663" "CARL" "GOT IT?"
"664" "JERRY" "Okay, real good, then."
"665" "WADE" "Okay ... here's your damn money, now where's my daughter?... Goddamn punk ... where's my damn daughter..."
"666" "WADE" "...  You little punk."
"667" "VOICE" "...  Dad?"
"668" "JERRY" "It's okay, Scotty."
"669" "VOICE" "Where're you going?"
"670" "JERRY" "Be back in a minute.  If Stan calls you, just tell him I went to Embers.  Oh, geez -"
"671" "VOICE" "...  Hello?"
"672" "MARGE" "Norm?"
"673" "MARGE'S VOICE" "They bitin'?"
"674" "NORM" "Yah, okay.  How's the hotel?"
"675" "MARGE" "Oh, pretty good.  They bitin'?"
"676" "NORM" "Yeah, couple a muskies.  No pike yet.  How d'you feel?"
"677" "MARGE" "Oh, fine."
"678" "NORM" "Not on your feet too much?"
"679" "MARGE" "No, no."
"680" "NORM" "You shouldn't be on your feet too much, you got weight you're not used too.  How's the food down there?"
"681" "MARGE" "Had dinner at a place called the King's Table.  Buffet style.  It was pretty darn good."
"682" "NORM" "Was it reasonable?"
"683" "MARGE" "Yah, not too bad.  So it's nice up there?"
"684" "NORM" "Yah, it's good.  No pike yet, but it's good."
"685" "CARL" "Who the fuck are you?  Who the fuck are you?"
"686" "WADE" "I got your goddamn money, you little punk.  Now where's my daughter?"
"687" "CARL" "I am through fucking around!  Drop that fucking briefcase!"
"688" "WADE" "Where's my daughter?"
"689" "CARL" "Fuck you, man!  Where's Jerry?  I gave SIMPLE FUCKING INSTRUCTIONS -"
"690" "WADE" "Where's my damn daughter?  No Jean, no money!"
"691" "CARL" "Drop that fucking money!"
"692" "WADE" "No Jean, no money!"
"693" "CARL" "Is this a fucking joke here?"
"694" "CARL" "...  Is this a fucking joke?"
"695" "WADE" "Unghh ... oh, geez..."
"696" "CARL" "You fucking imbeciles!"
"697" "WADE" "Oh, for Christ ... oh, geez..."
"698" "CARL" "Oh!"
"699" "CARL" "...  Owwmm..."
"700" "CARL" "...  Mmmmmphnck!  He fnkem shop me..."
"701" "JERRY" "Oh, geez!"
"702" "CARL" "Ophhem ma fuchem gaphe!"
"703" "ATTENDANT" "May I have your ticket, please?"
"704" "JERRY" "Oh!  Oh, geez!"
"705" "SCOTT'S VOICE" "...  Dad?"
"706" "JERRY" "Yah."
"707" "SCOTT'S VOICE" "Stan Grossman called."
"708" "JERRY" "Yah, okay."
"709" "SCOTT'S VOICE" "Twice."
"710" "JERRY" "Okay."
"711" "SCOTT'S VOICE" "...  Is everything okay?"
"712" "JERRY" "Yah."
"713" "SCOTT'S VOICE" "Are you calling Stan?"
"714" "JERRY" "Well...  I'm goin' ta bed now."
"715" "CARL" "...  Fnnkn ashlzh...  Fnk..."
"716" "MAN" "How ya doin'?"
"717" "GARY" "Mr. Mohra?"
"718" "MAN" "Yah."
"719" "GARY" "Officer Olson."
"720" "MAN" "Yah, right-o."
"721" "MAN" "...  So, I'm tendin' bar there at Ecklund && Swedlin's last Tuesday and this little guy's drinkin' and he says, 'So where can a guy find some action - I'm goin' crazy down there at the lake.'  And I says, 'What kinda action?' and he says, 'Woman action, what do I look like,'  And I says 'Well, what do I look like, I don't arrange that kinda thing,' and he says, 'I'm goin' crazy out there at the lake' and I says, 'Well, this ain't that kinda place.'"
"722" "GARY" "Uh-huh."
"723" "MAN" "So he says, 'So I get it, so you think I'm some kinda jerk for askin',' only he doesn't use the word jerk."
"724" "GARY" "I unnerstand."
"725" "MAN" "And then he calls me a jerk and says the last guy who thought he was a jerk was dead now.  So I don't say nothin' and he says, 'What do ya think about that?'  So I says, 'Well, that don't sound like too good a deal for him then.'"
"726" "GARY" "Ya got that right."
"727" "MAN" "And he says, 'Yah, that guy's dead and I don't mean a old age.'  And then he says, 'Geez, I'm goin' crazy out there at the lake.'"
"728" "GARY" "White Bear Lake?"
"729" "MAN" "Well, Ecklund && Swedlin's, that's closer ta Moose Lake, so I made that assumption."
"730" "GARY" "Oh sure."
"731" "MAN" "So, ya know, he's drinkin', so I don't think a whole great deal of it, but Mrs. Mohra heard about the homicides out here and she thought I should call it in, so I called it in.  End a story."
"732" "GARY" "What'd this guy look like anyways?"
"733" "MAN" "Oh, he was a little guy, kinda funny-lookin'."
"734" "GARY" "Uh-huh - in what way?"
"735" "MAN" "Just a general way."
"736" "GARY" "Okay, well, thanks a bunch, Mr. Mohra.  You're right, it's probably nothin', but thanks for callin' her in."
"737" "MAN" "Oh sure.  They say she's gonna turn cold tomorrow."
"738" "GARY" "Yah, got a front movin' in."
"739" "MAN" "Ya got that right."
"740" "CARL" "...  Mmmnphh."
"741" "CARL" "...  Jeshush Shrist...  Jeshush fuchem Shrist!"
"742" "CARL" "Mmmphh..."
"743" "MARGE" "No, I'm leavin' this mornin', back up to Brainerd."
"744" "VOICE" "Well, I'm sorry I won't see ya."
"745" "MARGE" "Mm.  But ya think he's all right? I saw him last night and he's -"
"746" "VOICE" "What'd he say?"
"747" "MARGE" "Well, it was nothin' specific he said, it just seemd like it all hit him really hard, his wife dyin' -"
"748" "VOICE" "His wife?"
"749" "MARGE" "Linda."
"750" "VOICE" "No."
"751" "MARGE" "Linda Cooksey?"
"752" "VOICE" "No.  No.  No.  They weren't - he, uh, he was bothering Linda for about, oh, for a good year. Really pestering her, wouldn't leave her alone."
"753" "MARGE" "So ... they didn't..."
"754" "VOICE" "No.  No.  They never married. Mike's had psychiatric problems."
"755" "MARGE" "Oh.  Oh, my."
"756" "VOICE" "Yah, he - he's been struggling. He's living with his parents now."
"757" "MARGE" "Oh.  Geez."
"758" "VOICE" "Yah, Linda's fine.  You should call her."
"759" "MARGE" "Geez.  Well - geez.  That's a suprise."
"760" "MARGE" "Hello?"
"761" "MARGE" "Mr. Lundegaard?  Sorry to bother you again.  Can I come in?"
"762" "JERRY" "Yah, no, I'm kinda - I'm kinda busy -"
"763" "MARGE" "I unnerstand.  I'll keep it real short, then.  I'm on my way out of town, but I was just -  Do you mind if I sit down?  I'm carrying a bit of a load here."
"764" "JERRY" "No, I -"
"765" "MARGE" "Yah, it's this vehicle I asked you about yesterday.  I was just wondering -"
"766" "JERRY" "Yah, like I told ya, we haven't had any vehicles go missing."
"767" "MARGE" "Okay, are you sure, cause, I mean, how do you know?  Because, see, the crime I'm investigating, the perpetrators were driving a car with dealer plates.  And they called someone who works here, so it'd be quite a coincidence if they weren't, ya know, connected."
"768" "JERRY" "Yah, I see."
"769" "MARGE" "So how do you - have you done any kind of inventory recently?"
"770" "JERRY" "The car's not from our lot, ma'am."
"771" "MARGE" "but do you know that for sure without -"
"772" "JERRY" "Well, I would know.  I'm the Executive Sales Manager."
"773" "MARGE" "Yah, but -"
"774" "JERRY" "We run a pretty tight ship here."
"775" "MARGE" "I know, but - well, how do you establish that, sir?  Are the cars, uh, counted daily or what kind of -"
"776" "JERRY" "Ma'am, I answered your question."
"777" "MARGE" "...  I'm sorry, sir?"
"778" "JERRY" "Ma'am, I answered your question. I answered the darn -  I'm cooperating here, and I..."
"779" "MARGE" "Sir, you have no call to get snippy with me.  I'm just doin' my job here."
"780" "JERRY" "I'm not, uh, I'm not arguin' here. I'm cooperating...  There's no, uh - we're doin' all we can..."
"781" "MARGE" "Sir, could I talk to Mr. Gustafson?"
"782" "MARGE" "...  Mr. Lundegaard?"
"783" "JERRY" "Well, heck, if you wanna, if you wanna play games here!  I'm workin' with ya on this thing, but I..."
"784" "JERRY" "Okay, I'll do a damned lot count!"
"785" "MARGE" "Sir?  Right now?"
"786" "JERRY" "Sure right now!  You're darned tootin'!"
"787" "JERRY" "...  If it's so damned imporant to ya!"
"788" "MARGE" "I'm sorry, sir, I -"
"789" "JERRY" "Aw, what the Christ!"
"790" "MARGE" "...  Oh, for Pete's sake."
"791" "MARGE" "...  Oh, for Pete's sake..."
"792" "MARGE" "...  For Pete's s- he's fleein' the interview.  He's feelin' the interview..."
"793" "MARGE" "...  Detective Sibert, please..."
"794" "WOMAN" "Well, so far we're just saying he's wanted for questioning in connection with a triple homicide.  Nobody at the dealship there's been much help guessing where he might go..."
"795" "MARGE" "Uh-huh."
"796" "WOMAN" "We called his house; his little boy said he hadn't been there."
"797" "MARGE" "And his wife?"
"798" "WOMAN" "She's visiting relatives in Florida. Now his boss, this guy Gustafson, he's also disappeared.  Nobody at his office knows where he is."
"799" "MARGE" "Geez.  Looks like this thing goes higher than we thought.  You call his home?"
"800" "WOMAN" "His wife's in the hospital, has been for a couple months.  The big C."
"801" "MARGE" "Oh, my."
"802" "WOMAN" "And this Shep Proudfoot character, he's a little darling.  He's now wanted for assault and parole violation.  He clobbered a neighbor of his last night and another person who could be one of your perps, and he's at large."
"803" "MARGE" "Boy, this thing is really ... geez."
"804" "WOMAN" "Well, they're all out on the wire. Well, you know..."
"805" "MARGE" "Yah.  Well, I just can't thank you enough, Detective Sibert, this cooperation has been outstanding."
"806" "DETECTIVE SIBERT" "Ah, well, we haven't had to run around like you.  When're you due?"
"807" "MARGE" "End a April."
"808" "DETECTIVE SIBERT" "Any others?"
"809" "MARGE" "This'll be our first.  We've been waiting a long time."
"810" "DETECTIVE SIBERT" "That's wonderful.  Mm-mm.  It'll change your life, a course."
"811" "MARGE" "Oh, yah, I know that!"
"812" "DETECTIVE SIBERT" "They can really take over, that's for sure."
"813" "MARGE" "You have children?"
"814" "DETECTIVE SIBERT" "I thought you'd never ask.  The older one is Janet, she's nine, and the younger one is Morgan."
"815" "MARGE" "Oh, now he's adorable."
"816" "DETECTIVE SIBERT" "He's three now.  Course, not in that picture."
"817" "MARGE" "Oh, he's adorable."
"818" "DETECTIVE SIBERT" "Yah, he -"
"819" "MARGE" "Where'd you get him that parka?"
"820" "DETECTIVE SIBERT" "Both of these."
"821" "MARGE" "Oh, no, I can't let you do that."
"822" "DETECTIVE SIBERT" "Oh, don't be silly."
"823" "MARGE" "Well, okay - thank you, Detective."
"824" "DETECTIVE SIBERT" "Oh, don't be silly."
"825" "CARL" "You should she zhe uzher guy!"
"826" "CARL" "...  The fuck happen a her?"
"827" "GRIMSRUD" "She started shrieking, you know."
"828" "CARL" "Jezhush."
"829" "CARL" "...  Well, I gotta muddy."
"830" "CARL" "...  All of it.  All eighty gran. Forty for you..."
"831" "CARL" "...  Forty for me.  Sho thishuzh it.  Adiosh."
"832" "CARL" "...  You c'n'ave my truck.  I'm takin' a Shiera."
"833" "GRIMSRUD" "We split that."
"834" "CARL" "HOW THE FUCK DO WE SHPLITTA FUCKIN' CAR?  Ya dummy!  Widda fuckin' chainshaw?"
"835" "GRIMSRUD" "One of us pays the other for half."
"836" "CARL" "HOLD ON!  NO FUCKIN' WAY!  YOU FUCKIN' NOTISH ISH?  I GOT FUCKIN' SHOT INNA FAISH!  I WENT'N GOTTA FUCKIN' MONEY!  I GET SHOT FUCKIN' PICKIN' IT UP!  I BEEN UP FOR THIRTY-SHIKSH FUCKIN' HOURZH!  I'M TAKIN' THAT FUCKIN' CAR!  THAT FUCKERZH MINE!"
"837" "CARL" "...  YOU FUCKIN' ASH-HOLE!  I LISHEN A YOUR BULLSHIT FOR A WHOLE FUCKIN' WEEK!"
"838" "CARL" "...  Are we shquare?"
"839" "CARL" "...  ARE WE SHQUARE?"
"840" "CARL" "...  Fuckin' ash-hole.  And if you shee your friend Shep Proudpfut, tell him I'm gonna NAIL hizh fuckin' ash."
"841" "VOICE" "His wife.  This guy says she was kidnapped last Wednesday."
"842" "MARGE" "The day of our homicides."
"843" "VOICE" "Yah."
"844" "MARGE" "And this guy is..."
"845" "VOICE" "Lundegaard's father-in-law's accountant."
"846" "MARGE" "Gustafson's accountant."
"847" "VOICE" "Yah."
"848" "MARGE" "But we still haven't found Gustafson."
"849" "VOICE" "-  looking."
"850" "MARGE" "Sorry - didn't copy."
"851" "VOICE" "Still missing.  We're looking."
"852" "MARGE" "Copy.  And Lundegaard too."
"853" "VOICE" "Yah.  Where are ya, Margie?"
"854" "MARGE" "Oh, I'm almost back - I'm driving around Moose Lake."
"855" "VOICE" "Oh.  Gary's loudmouth."
"856" "MARGE" "Yah, the loudmouth.  So the whole state has it, Lundegaard and Gustafson?"
"857" "VOICE" "Yah, it's over the wire, it's everywhere, they'll find 'em."
"858" "MARGE" "Copy."
"859" "VOICE" "We've got a -"
"860" "MARGE" "There's the car!  There's the car!"
"861" "VOICE" "Whose car?"
"862" "MARGE" "My car!  My car!  Tan Ciera!"
"863" "VOICE" "Don't go in!  Wait for back-up!"
"864" "VOICE" "...  Chief Gunderson?"
"865" "MARGE" "Copy.  Yah, send me back-up!"
"866" "VOICE" "Yes, ma'am.  Are we the closest PD?"
"867" "MARGE" "Yah, Menominie only has Chief Perpich and he takes February off to go to Boundary Waters."
"868" "MARGE" "Stop!  Police!  Turn around and hands up!"
"869" "MARGE" "...  Hands up!"
"870" "MARGE" "...  Police!"
"871" "MARGE" "...  Halt!"
"872" "MARGE" "...  Halt!"
"873" "MARGE" "...  Halt!"
"874" "MARGE" "...  All right, buddy.  On your belly and your hands clasped behind you."
"875" "MARGE" "...  So that was Mrs. Lundegaard in there?"
"876" "MARGE" "...  I guess that was your accomplice in the wood chipper."
"877" "MARGE" "...  And those three people in Brainerd."
"878" "MARGE" "...  And for what?  For a little bit of money."
"879" "MARGE" "...  There's more to life than money, you know."
"880" "MARGE" "...  Don't you know that?...  And here ya are, and it's a beautiful day..."
"881" "MARGE" "...  Well..."
"882" "MARGE" "...  I just don't unnerstand it."
"883" "COP ONE" "Mr. Anderson..."
"884" "VOICE" "...  Who?..."
"885" "COP ONE" "Mr. Anderson, is this your burgundy 88 out here?"
"886" "VOICE" "...  Just a sec."
"887" "COP ONE" "Could you open the door, please?"
"888" "VOICE" "...  Yah.  Yah, just a sec."
"889" "VOICE" "...  Just a sec..."
"890" "COP ONE" "Dale!"
"891" "COP ONE" "Call an ambulance!"
"892" "COP TWO" "You got him okay?"
