"character" "dialogue"
"361" "YOUNG COP" "Inspector! Look at this... "Dragon's Breath..?""
"362" "CARSON" "Twelve-gauge shell filled with magnesium and ignition powder. Shit's worse than napalm -- Geneva Convention outlawed it for warfare."
"363" "MIRANDA" "Then how did he get it?"
"364" "CARSON" "Easy -- you can buy 'em mail order. Where's the Consulate's car?"
"365" "YOUNG COP" "Uh... apparently it was stolen..."
"366" "COLONEL LEE" "Stolen!? What is it with you people --"
"367" "YOUNG COP" "-- What's this "you people" shit?"
"368" "CARSON" "Shut up!"
"369" "MIRANDA" "He means all of us "you people.""
"370" "CARSON" "Find it! How many bulletproof Mercedes could be cruising around Crenshaw?"
"371" "YOUNG COP" "You'd be surprised..."
"372" "CARSON" "I hate this fuckin' town."
"373" "CARSON" "Wasted trip: Witnesses say he was working alone, and he was a vicious son of a bitch. Old news."
"374" "COLONEL LEE" "And our car was stolen."
"375" "AMBASSADOR HAN" "I felt safer when I was the Ambassador to Libya."
"376" "SABATINI" "Image enhancements came back."
"377" "CARSON" "We going steady?"
"378" "SABATINI" "The sun position tells us the windows are facing northeast. Here's the best -- look at the glass on the prints hanging in the background. There's a reflection of a reflection, out on the street: the corner of a billboard."
"379" "CARSON" "Looks like the wheel of a car."
"380" "MIRANDA" "We talked about these billboards, when we were car shopping! Four- door... they make a wagon, too. Something Japanese... God, what was it? Toyota... Mazda... Honda... You thought it had no character."
"381" "CARSON" "I thought that about all of them. C'mon, think, dammit!!"
"382" "MIRANDA" "You think!! You were there, too!"
"383" "CARSON" "Call the outdoor advertising companies. Get the location of all the billboards for Japanese cars within our search parameters."
"384" "DAVE" "...Peerless Auto Security. We need to know whether you've sold a large quantity of these components to any one customer, or whether you'd had any stolen recently..."
"385" "OPERATIVE" "...Missile heading to L.A. has a Kipchak Warhead! Repeat: missile is Kipchak equipped! It was switched by order of --"
"386" "MRS. HAN" "He asked you if you had to go..."
"387" "JOY" "Oh, my God..."
"388" "PRESIDENT" "So what the hell does "Kipchak" mean?"
"389" "INTELLIGENCE OFFICER" "Uh, it's a code name... for weapons using the Yersinia Pestis bacillus..."
"390" "INTELLIGENCE OFFICER" "Kipchaks were Asian nomads. In 1347 they attacked a Genoese fort, and catapulted infected corpses over the walls. The Genoese who survived carried the disease back to Europe... and it killed half the population."
"391" "PRESIDENT" "Get to the goddamn point, Major."
"392" "CIA CHIEF" "Seems the missile is armed with a warhead carrying the Pneumonic Plague."
"393" "PRESIDENT" "The Black Plague?! Every time I talk to you fuckin' guys it gets worse! What happened to this "limited retaliation" shit?"
"394" "SECRETARY OF STATE" "The North Koreans insist the missile carries a conventional payload. They say we're trying to trick them into aborting the attack."
"395" "SECRETARY OF DEFENSE" "Especially since the uplink from our Op in P'yÃšngyang was unencrypted."
"396" "CIA CHIEF" "We think one of the Hard-liners switched the warhead without the Premier's knowledge. But he's not about to take our word for it, and he's too weak to risk the humiliation of backing down."
"397" "PRESIDENT" "They use a biological weapon on American soil, they have to know we'll respond!"
"398" "SECRETARY OF STATE" "Maybe they don't think we got the guts. Maybe they want a war, 'cause they think they can whip us, like what happened in 'Nam. Look who we're dealing with: a teetering, outlaw regime, and inside it, some wild-ass renegades working their screwy agenda!"
"399" "PRESIDENT" "What the hell are we doing in L.A.?"
"400" "SECRETARY OF DEFENSE" "We've deployed Marines from Pendleton and Twenty-Nine Palms, Army from Ft. Irwin, put 'em in protective suits, but it's 40 minutes before they're on the ground."
"401" "PRESIDENT" "All right. Assuming the worst... What'll happen?"
"402" "INTELLIGENCE OFFICER" "The warhead vents the plague bacteria above the target area, infecting about 50,000 people. First symptoms are vomiting, lymph nodes become swollen; temperature rises to 105Æ’. Victims turn deep purple from lung hemorrhaging, usually die the same day. There are treatments -- streptomycin and tetracyclines -- but we'd be overwhelmed by the numbers and its extreme contagiousness."
"403" "CIA CHIEF" "We could have 500,000 infected in a week, who knows how many after that."
"404" "PRESIDENT" "I'm gonna toast those fuckers! Have the Summit leaders been warned?"
"405" "FBI CHIEF" "Yes, sir... no one's landing in L.A. 'til we give the all-clear."
"406" "PRESIDENT" "And you're sure it's safe if we can get 'em to destroy the missile in flight?"
"407" "INTELLIGENCE OFFICER" "The bacteria can't survive the heat of an explosion."
"408" "CIA CHIEF" "I suggest none of this go any further -- not even to the agents working to find the family. Word leaks out to a city of 12 million people there's rocket full of the Plague coming at 'em, you'll create a panic of biblical proportions."
"409" "CARSON" "Say what?"
"410" "COLONEL LEE" "Perhaps someone will decide it is foolish to incur the wrath of North Korea."
"411" "CARSON" "Yeah, the U.S. is behind the whole thing. And we're knocking our heads, trying to find your people, just for show."
"412" "WALTHER" "Carson..."
"413" "CARSON" "Let's grab a few beers, kick back 'til five o'clock rolls by. Then maybe we can have a war over it. I think that's a great idea, seeing as how you fuckers have needed your clocks cleaned for fifty years now!"
"414" "COLONEL LEE" "Why wait until five?"
"415" "MIRANDA" "Pete! Christ, you're self-indulgent! There's nothing but anger and cynicism left inside you, so they're all you can express any more. No wonder everyone in the Bureau thinks you're such a nutcase!"
"416" "CARSON" "Hey, I'm not the only one with a rep around the office... "Dr. Knoll-It- All.""
"417" "MIRANDA" "You've been dying to tell me that..."
"418" "CARSON" "Miranda... Shit."
"419" "ROBBINS" "...Yeah, Peerless Auto Security... fine... get your manager..."
"420" "INSTALLER #1 (VO)" "Tell Jerry, pick up line one!"
"421" "INSTALLER #2" "Jerry's outta here!"
"422" "INSTALLER #1" "Some cop's asking if we sold a bunch of Peerless parts."
"423" "INSTALLER #2" "Talk to Javal!"
"424" "INSTALLER #1" "Javal's off today."
"425" "INSTALLER #3" "Dude's off a lot."
"426" "INSTALLER #4 (VO)" "He's used to it -- fuckin' Frenchies get the whole summer off."
"427" "INSTALLER #2 (VO)" "Man's Canadian, dickweeds!"
"428" "INSTALLER #1 (VO)" "You're gonna have to call back on Monday..."
"429" "CARSON" "Everyone shut up! Guy on vacation, the Canadian --"
"430" "INSTALLER #1 (VO)" "-- Yeah, Javal..."
"431" "CARSON" "Six foot, sandy hair, spooky eyes?"
"432" "INSTALLER #1 (VO)" "Zombie Eyes! You know the man?"
"433" "CARSON" "I need a full name, address, anything you got!"
"434" "INSTALLER #1 (VO)" "Paul Javal... hang on, we'll look it up... This an immigration thing? Shit, he's our best installer."
"435" "ESPIONAGE AGENT" "Inspector Carson, extension 666..."
"436" "CARSON" "That's appropriate... In 30 seconds you're gonna give me Paul Javal's shoe size."
"437" "CARSON" "Carson..."
"438" "EDWARDS (VO)" "Edwards, Sound Lab..."
"439" "CARSON (VO)" "Whatta you got?"
"440" "EDWARDS" "Ambient background sound is normal city stuff, but there's a distinct echo pattern. Your people are in or near a high-rise that's at least eight floors tall. And there are other high-rises nearby."
"441" "CARSON (VO)" "How high up are they?"
"442" "EDWARDS" "No way to extrapolate that from the sample you gave us. One more thing: There's an emergency siren approaching at 17 seconds into the second call, passing the location at 33.5 seconds."
"443" "CARSON" "Okay -- high-rises in our search area. Eight stories or higher."
"444" "MIRANDA" "Downtown, Century City, Westwood corridor, Museum Row, Mid- Wilshire... North of Sunset Strip there's a few..."
"445" "CARSON" "Sabatini! What about that billboard?"
"446" "SABATINI" "Nothing yet! Everyone's left their goddamn offices already!"
"447" "CARSON" "LAPD will have a record of all emergency vehicles running Code 3 at 9:32 AM. Get their starting point and their destination."
"448" "MIRANDA" "And have them narrow their foot- searches to areas around high-rises."
"449" "CARSON" "Where's that fuckin' address?!"
"450" "DAVE" "I'm still holdin'!"
"451" "DAVE" "He's on our hit parade. Interpol passed us his records when he entered the country. French by birth... looks like a total scumbag."
"452" "SABATINI" "Isn't that redundant?"
"453" "DAVE" "Raised in Quebec. Moved to Europe; served some short stretches, petty shit... arrested for kidnapping, no conviction. Did four years in France for blowing bank vaults. Moved to U.S. last year. Clean since then."
"454" "CARSON" "Get his Driver's License number; Social; bank accounts; charge cards; club memberships... find out what movies he rented.  Get whoever's closest to the Auto Shop to get in there, interview everybody."
"455" "MIRANDA" "This sure was a ballsy move for a car-alarm installer."
"456" "CARSON" "Hey, he watched the news... Everyone knows the U.S. will do anything to avoid trouble with a mad-dog country."
"457" "MIRANDA" "Ambassador --"
"458" "CARSON" "-- Quit apologizing for me!"
"459" "MIRANDA" "Quit giving me reasons to!"
"460" "AMBASSADOR HAN" "On occasion, my wife has been known to kick my ankle under the table."
"461" "CARSON" "Sounds like her aim's a little low."
"462" "DAVE" "Address, according to the Auto Shop."
"463" "CARSON" "Apartment 1060! He's in a high-rise! Sabatini -- you're with us. She's got the field experience."
"464" "MIRANDA" "There still could be accomplices. If there are, they'll hear us in the helicopter."
"465" "CARSON" "There's a TV station a couple blocks away. We'll land on their pad. K-EYE. Clear it with 'em. Have a SWAT team assemble, but tell 'em to hang back unless we need 'em."
"466" "OPERATIVE'S VOICE (VO)" "...Missile heading to L.A. has a Kipchak Warhead! Repeat: missile is Kipchak equipped!"
"467" "CARSON" "Oh, great, the media... It's the goddamn traffic girl!"
"468" "MIRANDA" "Traffic person."
"469" "BOBBI" "Where are you going?"
"470" "CARSON" "We can't get into that right now..."
"471" "BOBBI" "Hey, you expect to use my station's facilities and not even tell us --"
"472" "MIRANDA" "Sorry..."
"473" "BOBBI" "What the fuck are you, the Barbie Corporate Ass-Lick model?"
"474" "MIRANDA" "Guess what, Sister... you're about to spend the next five years in a penitentiary for interfering with a federal investigation."
"475" "STATION MANAGER" "Bobbi! I promised we'd respect their news blackout!"
"476" "BOBBI" "Figures... you dickless wonder."
"477" "STATION MANAGER" "I get an exclusive later, right?"
"478" "CARSON" "This works out, I'll play the fuckin' banjo for you."
"479" "CARSON" "We're hoofing it."
"480" "SABATINI" "'She's got the field experience'... To park the fuckin' car!"
"481" "CARSON" "Whoa... FBI..!"
"482" "CARSON" "How the hell you get here so fast?"
"483" "SWAT TEAM #1" "They're shootin' a cop movie down the street. We're workin' as extras."
"484" "CARSON" "Terrific. Who else is here?"
"485" "SWAT TEAM #1" "Three officers on the roof, next building over, and two in the tenth- floor hallway."
"486" "CARSON" "Tell 'em to be cool. We're going up. Give me your master key."
"487" "SWAT TEAM #1" "Feds going up -- Anglo male and female; Asian male."
"488" "WOMAN" "What the fuck..!"
"489" "MIRANDA" "Sorry..."
"490" "CARSON" "Wait here."
"491" "CARSON" "I'm in. It's empty, but sit tight while I look around."
"492" "MIRANDA" "I like what you've done with the place..."
"493" "COLONEL LEE" "Wait!"
"494" "SABATINI" "Where's Carson?"
"495" "COLONEL LEE" "Inside."
"496" "CARSON" "NO! --"
"497" "CARSON" "I said keep everyone back!!"
"498" "MIRANDA" "Stop it!"
"499" "CARSON" "Get out of my sight."
"500" "BOBBI" "Marchfelder."
"501" "STATION MANAGER (VO)" "You dated the Mayor, right?"
"502" "BOBBI" "You need a traffic ticket fixed?"
"503" "STATION MANAGER (VO)" "Try to confirm something for us. There's an incredible buzz on the Internet -- someone picked up a classified message on a U.S. Intelligence frequency. We think it's authentic!"
"504" "CARSON" "What's the status?"
"505" "ROBBINS (VO)" "Wilshire and West PD Divisions had seven vehicles running with sirens at 9:32. They're getting the routes from the officers now."
"506" "CARSON" "Hurry it the hell up."
"507" "CARSON" "I should've known she'd come up."
"508" "MIRANDA" "Pete --"
"509" "CARSON" "-- "Should've." Shit, there's a familiar word. That day... I was there soon enough. We should've rushed 'em, before they could finish setting up..."
"510" "MIRANDA" "The Bureau never would've let you. They want it by the book: talk them out."
"511" "CARSON" "Twelve bodies -- only the hostages."
"512" "MIRANDA" "You were a greenhorn. It wasn't your decision. You can't keep living as such a raw nerve, never sleeping --"
"513" "CARSON" "-- Those kids were ten years old! Same age as the Han boy... This Floor Has Been Temporarily Vacated For Minor Earthquake Retrofitting."
"514" "CARSON" "C'mon! Who's pulling Javal's bank records? What about cross-referencing possible aliases? We got 33 minutes!"
"515" "MIRANDA" "Camry! The billboard! Toyota Camry! Where are the numbers for the outdoor ad companies?"
"516" "ROBBINS" "Parker Center's making those calls."
"517" "BOBBI" "Turn the fuckin' camera on! DO IT!!"
"518" "CAMERAMAN" "Maybe it's true... probably is true. That's why they got a news blackout!"
"519" "BOBBI" "I'll rip your miserable eyeballs out! NEWS IS OUR FUCKIN' JOB!!"
"520" "BOBBI" "...A warning was radioed to U.S. Intelligence that a biological weapon, allegedly containing the deadly Pneumonic Plague, is approaching Los Angeles. While unconfirmed, the President and other leaders are all late in arriving..."
"521" "DAVE" "Finally got the call list from Javal's phone. Most aren't his; they're from the legit user who didn't know his number was cloned."
"522" "CARSON" "Go to the bottom of the list, work back through the last 12 hours."
"523" "DAVE" "Here's the call to the Consulate -- 965-5000. The rest are dupes... all from the other guy..."
"524" "CARSON" "Wait... go back... the one at seven this morning..."
"525" "CARSON" "Get down!"
"526" "CARSON" "MIRANDA!"
"527" "MIRANDA" "Go..!"
"528" "CARSON" "Get the fuck out of here!"
"529" "CARSON" "Shit, it's like a Godzilla movie out here!"
"530" "FM NEWSCASTER (VO)" "...These words, which have terrified the city:"
"531" "RECORDING OF BOBBI (VO)" "...A biological weapon, allegedly containing the deadly Pneumonic Plague, is approaching Los Angeles..."
"532" "CARSON" "Miranda..!"
"533" "MIRANDA (VO)" "I heard. I'm in the copter."
"534" "CARSON" "I want you to get out of here..."
"535" "MIRANDA" "Shut up and keep your eyes on the road. That's my goddamn car. Dave? You staying on top of the research?"
"536" "DAVE" "I can't... My kids..."
"537" "MIRANDA (VO)" "Listen: the best way to help them is to stay at your computer. If any information comes in, holler. Okay?"
"538" "DAVE" "Okay..."
"539" "BOBBI" "Don't lose the Benz, moron... pull back... show the other copters around us... this is fuckin' great..."
"540" "CARSON" "...The Colonel hired Javal, made it look like he was working alone. Then he made sure Javal got killed, so we'd never find your family -- and they'd have an excuse to drop their bomb. But what's in it for 'em?"
"541" "AMBASSADOR HAN" "There are men in my government whose power depends on North Korea staying as it is: Socialist, repressive, isolated from the world. They'll resort to anything, even war, to keep it that way. They have the Hitler Syndrome: if their country cannot exist the way they want it, they would rather see it destroyed."
"542" "VREELAND (VO)" "FBI, this is Major Vreeland. Discontinue your pursuit, we're gonna box his ears from up here."
"543" "CARSON" "Negative -- his car's armored! And we need the bastard alive!!"
"544" "VREELAND (VO)" "We've got the situation in hand."
"545" "VREELAND" "Shit! Pull back!"
"546" "BOBBI" "Jesus fuckin' God!!! Uh, I think we're gonna set down now. Back to you, Brent."
"547" "VREELAND" "Out of the air, or retreat 7,000 meters from target vehicle!"
"548" "JOY" "I always hated that guy..."
"549" "CARSON" "One of yours? What the hell do you need heat- seeking rockets for in L.A.?"
"550" "AMBASSADOR HAN" "There could be another riot..."
"551" "CARSON" "And they call me Mr. Overkill. Dave, what do you know about..."
"552" "AMBASSADOR HAN" "Strela-2..."
"553" "CARSON" "Strela-2 anti-aircraft rockets?"
"554" "DAVE" "I'm with ya... Strela-2. Perenosniy zenitniy raketniy kompleks. Russian factory index 9K-32-M2 --"
"555" "CARSON (VO)" "-- Skip the goddamn trivia! I need range, guidance, arming method, anything we can work with..."
"556" "MIRANDA (VO)" "-- You don't "work with" rockets, Peter!"
"557" "MIRANDA" "Stay back. LAPD's putting up a roadblock."
"558" "BOBBI" "Save it for someone who gives a shit!"
"559" "DAVE (VO)" "...The Strela-2 needs 45 meters to arm, so stay tight on his ass."
"560" "CARSON" "That Kraut-mobile have any weaknesses you'd like to tell me about?"
"561" "AMBASSADOR HAN" "I don't think so -- they said it was solid as a rock."
"562" "CARSON" "No shit..."
"563" "AMBASSADOR HAN" "I can't believe I'm still alive..."
"564" "CARSON" "This were a Hyundai you wouldn't be."
"565" "CARSON" "Get me out of here..."
"566" "CARSON" "Anybody see him?"
"567" "MIRANDA (VO)" "Still heading north on the 110."
"568" "CARSON" "Dave... You're sure those rockets are heat-seeking?"
"569" "DAVE (VO)" "Classic IR, reflective optical system. How come?"
"570" "CARSON" "Just keep working your leads..."
"571" "CARSON" "This is Carson. I need a copter."
"572" "CARSON (VO)" "Something small and nimble. Anybody... come in low, from the south... I'm on an ambulance by the 9th Street exit."
"573" "MIRANDA (VO)" "Are you out of your mind?"
"574" "BOBBI" "Get this fuckin' thing in the air! Out! Not enough room for four."
"575" "CAMERAMAN" "What am I supposed to do when the plague comes, hold my breath?"
"576" "MIRANDA" "Switch to a secure channel. What on earth are you thinking?"
"577" "CARSON (VO)" "I'll make him open the sunroof. Someone can shoot tear gas or a percussion grenade inside."
"578" "MIRANDA" "Pete, you haven't gone... suicidal or anything on me, have you?"
"579" "CARSON (VO)" "No way. I couldn't stand making so many people happy."
"580" "CARSON" "You?! I wanted a police copter!"
"581" "PILOT" "Just tell me what to do. I flew two tours in 'Nam."
"582" "BOBBI" "And he doesn't go unless I go!"
"583" "CARSON" "Wrong-o..."
"584" "BOBBI" "I'm a respected electronic journalist, you fuckin' prick!!"
"585" "CARSON" "Got 'im -- looks like he's headed for the 101."
"586" "CARSON" "Pull hard to the left, on my signal..."
"587" "CARSON" "Now!"
"588" "MIRANDA" "You fucking lunatic!!"
"589" "PILOT" "Hope you got more flares than he's got rockets."
"590" "MIRANDA" "Sorry..."
"591" "MIRANDA" "You're completely deranged! Playing chicken with rockets!"
"592" "CARSON" "Well, what the hell were you doing out there?"
"593" "AMBASSADOR HAN (OS)" "What are both of you doing?"
"594" "CARSON" "Oh, for Christ's sake... Hold on!"
"595" "MIRANDA" "Even if we can pry him out with... Twelve minutes to go, I doubt he'll be very cooperative."
"596" "CARSON" "I'll just use my outstanding people skills."
"597" "CARSON" "That car's like a rock, right?"
"598" "MIRANDA" "Ever hear of "fuck-me" pumps? Well, these are fuck you pumps! Where's the family?"
"599" "DAVE" "Holy shit -- Knoll-It-All's turned into Dirty Harriet!"
"600" "DAVE" "You're sure there were no accounts in the other names I gave you?"
"601" "AMBASSADOR HAN" "Let him up."
"602" "COLONEL LEE" "Victory!"
"603" "CARSON" "Dave..."
"604" "CARSON (VO)" "Anything else come through?"
"605" "DAVE" "Take a hint. We're screwed."
"606" "CARSON (VO)" "Not yet..."
"607" "DAVE" "Wait! One of Javal's alias accounts: check for an apartment rental!"
"608" "CARSON (VO)" "You're shittin'... Where?!"
"609" "DAVE (VO)" "Park La Brea!"
"610" "CARSON" "...Have the Manager evacuate the complex. Find out which unit the family's in, but don't let anyone go in 'til we get there."
"611" "DAVE" "Private security's going around with PA's, and they set off the fire alarm. Well, try callin' him again! Manager's gone, and the Assistant can't find the key to get to the rental manifest. Then kick the fuckin' door down!"
"612" "MILTON" "I'll try him in his car again..."
"613" "WESTEC GUARDS (OS)" "Tenants -- leave your apartments at once... Take the stairs..."
"614" "CARSON" ""Fuck-you" pumps??"
"615" "JOY" "They must know we're here..."
"616" "ALL" "Help!"
"617" "VOICE THRU PA" "Han family. Show us your location..."
"618" "JOY" "Mother... Sam..."
"619" "MRS. HAN" "Do it."
"620" "MILTON" "It's a brown binder... Says "Rental Manifest." You can't miss it..."
"621" "CARSON" "Apartment number would be real helpful, gang..."
"622" "MIRANDA" "There!"
"623" "CARSON" "Okay... work with me here!"
"624" "LISA" "Hurry, please hurry..."
"625" "CARSON" "DON'T!"
"626" "CARSON" "We have to go out the window."
"627" "MRS. HAN" "Can't you disarm the bomb?"
"628" "CARSON" "Too risky. Let's concentrate on getting you out of here."
"629" "CARSON" "Sound detectors?"
"630" "MRS. HAN" "Sam covered them with chewing gum."
"631" "SAM" "High-tech problem, low-tech solution."
"632" "CARSON" "Pressure sensors. Use 'em in convertibles: Bad guy sits on your seat, he sets the alarm off. These are rigged backwards -- get up, you set 'em off."
"633" "SAM" "You a bomb expert?"
"634" "CARSON" "Nope. But I've had some car alarms in my day. For all the goddamn good they do..."
"635" "CARSON" "Slide your arm forward... Watch the meter... Keep the pressure on the armrest with your elbow..."
"636" "CARSON" "It'll squeeze the sensor, duplicate the weight of your arm... Okay... pick it up."
"637" "CARSON" "Low-tech solution... Lean back... Carefully."
"638" "MIRANDA (VO)" "How's it going in there?"
"639" "CARSON" "Nag, nag, nag..."
"640" "CARSON" "You'll be over in five seconds..."
"641" "CARSON" "Tell 'em I'm gonna release the hook and ride down on the line."
"642" "CARSON" "Release the cable from your side! Get out of here!"
"643" "MIRANDA" "Come over the railing! Grab onto the harness!"
"644" "MIRANDA" "Tear the hook loose!"
"645" "PILOT" "It'll pop the winch buckle!"
"646" "MIRANDA" "Try it anyway!"
"647" "CARSON" "...I'll call you next week."
"648" "MIRANDA" "Who was that on the phone?"
"649" "CARSON" "The Bureau. They want me back on the hostage team."
"650" "MIRANDA" "What did you say?"
"651" "CARSON" "Told 'em I'd sleep on it..."
"652" "MIRANDA" "Working with you today was certainly... interesting, Inspector."
"653" "CARSON" "It's my outstanding people skills."
"654" "MIRANDA" "I hate this fucking town..."
